,Rank,Stock_id,Company_name,Proportion
180,181,2849,安泰銀,0.0006519999999999999
181,182,6230,超眾,0.0006469999999999999
182,183,2373,震旦行,0.0006410000000000001
183,184,4915,致伸,0.000631
184,185,5469,瀚宇博,0.000621
185,186,9938,百和,0.000619
186,187,2368,金像電,0.0006180000000000001
187,188,2204,中華,0.0006090000000000001
188,189,2707,晶華,0.000607
189,190,2723,美食-KY,0.000603
190,191,2104,國際中橡,0.000602
191,192,9940,信義,0.000599
192,193,2820,華票,0.0005949999999999999
193,194,3026,禾伸堂,0.000594
194,195,2362,藍天,0.000589
195,196,1215,卜蜂,0.000589
196,197,2504,國產,0.000586
197,198,3019,亞光,0.000584
198,199,3016,嘉晶,0.000579
199,200,1232,大統益,0.000578
200,201,1808,潤隆,0.000574
201,202,5264,鎧勝-KY,0.000574
202,203,5434,崇越,0.0005729999999999999
203,204,2608,嘉里大榮,0.000571
204,205,4935,茂林-KY,0.00057
205,206,9958,世紀鋼,0.000569
206,207,2392,正崴,0.000565
207,208,2231,為升,0.000561
208,209,3682,亞太電,0.000561
209,210,6116,彩晶,0.000561
210,211,2108,南帝,0.000559
211,212,2905,三商,0.000554
212,213,8016,矽創,0.000554
213,214,3661,世芯-KY,0.000553
214,215,3042,晶技,0.000552
215,216,2855,統一證,0.000545
216,217,5388,中磊,0.000543
217,218,2206,三陽工業,0.000541
218,219,6504,南六,0.0005369999999999999
219,220,3596,智易,0.000533
220,221,9802,鈺齊-KY,0.000531
221,222,1409,新纖,0.00053
222,223,3673,TPK-KY,0.000523
223,224,3515,華擎,0.000516
224,225,4766,南寶,0.000516
225,226,8422,可寧衛,0.0005099999999999999
226,227,2897,王道銀行,0.0005070000000000001
227,228,2312,金寶,0.000505
228,229,8131,福懋科,0.000499
229,230,2505,國揚,0.000497
230,231,6414,樺漢,0.000489
231,232,1909,榮成,0.00048800000000000004
232,233,4943,康控-KY,0.000484
233,234,3576,聯合再生,0.000484
234,235,2023,燁輝,0.00048300000000000003
235,236,4551,智伸科,0.000482
236,237,2539,櫻花建,0.000479
237,238,2511,太子,0.000475
238,239,4137,麗豐-KY,0.000475
239,240,9939,宏全,0.000475
240,241,2637,慧洋-KY,0.000474
241,242,6257,矽格,0.000472
242,243,2455,全新,0.000471
243,244,9908,大台北,0.00047
244,245,6166,凌華,0.00046699999999999997
245,246,1325,恆大,0.00046600000000000005
246,247,6196,帆宣,0.00046499999999999997
247,248,6531,愛普,0.00046199999999999995
248,249,1440,南紡,0.00046199999999999995
249,250,6452,康友-KY,0.00046
250,251,2520,冠德,0.000451
251,252,1710,東聯,0.000449
252,253,3563,牧德,0.000444
253,254,1515,力山,0.000443
254,255,1773,勝一,0.000442
255,256,6202,盛群,0.000442
256,257,8462,柏文,0.00043999999999999996
257,258,6464,台數科,0.00043400000000000003
258,259,2388,威盛,0.000433
259,260,3017,奇鋐,0.000428
260,261,1304,台聚,0.000427
261,262,2367,燿華,0.000426
262,263,9907,統一實,0.000421
263,264,9925,新保,0.00042
264,265,2393,億光,0.000417
265,266,2607,榮運,0.000414
266,267,9937,全國,0.000413
267,268,3413,京鼎,0.00041099999999999996
268,269,2421,建準,0.00040800000000000005
269,270,2609,陽明,0.000407
270,271,2103,台橡,0.000407
271,272,5007,三星,0.000398
272,273,4438,廣越,0.000397
273,274,1702,南僑,0.000397
274,275,4927,泰鼎-KY,0.00039600000000000003
275,276,8081,致新,0.000395
276,277,1103,嘉泥,0.000393
277,278,3030,德律,0.000393
278,279,5305,敦南,0.000392
279,280,1234,黑松,0.000391
280,281,1312,國喬,0.000388
281,282,3010,華立,0.000388
282,283,3705,永信,0.000386
283,284,8482,商億-KY,0.000371
284,285,1218,泰山,0.000369
285,286,6153,嘉聯益,0.000368
286,287,1313,聯成,0.000366
287,288,1513,中興電,0.000363
288,289,2524,京城,0.000362
289,290,6541,泰福-KY,0.000362
290,291,1537,廣隆,0.000357
291,292,1419,新紡,0.000357
292,293,2208,台船,0.000356
293,294,3380,明泰,0.000356
294,295,3006,晶豪科,0.000354
295,296,1903,士紙,0.00035099999999999997
296,297,1104,環泥,0.00035099999999999997
